imdb_id,tmdb_id
tt1132151,628008
tt0148361,1028048
tt4046392,1169158
tt4676702,956025
tt10520882,580741
tt0154941,455280
tt3511124,451474
tt2111458,648544
tt11101858,578495
tt5127360,444099
tt0457009,280852
tt0974520,1201652
tt0252402,638447
tt4828926,527570
tt0068000,34800
tt0157393,713727
tt3833746,308063
tt1446184,1105791
tt1756779,1042373
tt11923926,539587
tt0099631,838874
tt12463672,661326
tt1631769,656227
tt12837202,504226
tt3381988,797820
tt0148360,1201280
tt9296084,704642
tt0066255,503894
tt0168533,255490
tt0211907,812246
tt4198260,395703
tt5896674,409069
tt0151031,414953
tt0259750,1085097
tt21854614,722949
tt1014068,780740
tt3303440,1147981
tt0114385,1124869
tt0269448,1201605
tt5485420,468938
tt6372236,385266
tt1838515,132279
tt6549234,418421
tt2323649,736409
tt6078304,908130
tt2827700,1047049
tt1190124,573020
tt0209447,627761
tt6848226,746387
tt7317422,429916
tt0090826,642382
tt5916224,1147534